dataset,image,method,psnr,ssim
APTOS,08f8838d69bb.png,espcn,36.473648781084634,0.9191359433518865
APTOS,08f8838d69bb.png,fsrcnn,31.20188028600159,0.859417228753475
APTOS,08f8838d69bb.png,srcnn,37.11868526881232,0.927298602502891
APTOS,09237bf783a4.png,bicubic,37.25279483562561,0.8903884341501941
APTOS,09237bf783a4.png,espcn,36.88108739970466,0.9198689361857215
APTOS,09237bf783a4.png,fsrcnn,32.90058251697201,0.868434274762207
APTOS,09237bf783a4.png,srcnn,37.57586519060277,0.9294014670087383
APTOS,0924cec998fa.png,bicubic,38.06096061208267,0.8820495589790583
APTOS,0924cec998fa.png,espcn,36.987600813206235,0.9603423588295401
APTOS,0924cec998fa.png,fsrcnn,33.12489537609642,0.9583272766114058
APTOS,0924cec998fa.png,srcnn,38.475660607497694,0.9011162369036155
APTOS,093cf723fede.png,bicubic,37.53904644607236,0.8771105665459582
APTOS,093cf723fede.png,espcn,37.42067193508682,0.9506511708628734
APTOS,093cf723fede.png,fsrcnn,31.16574476903351,0.9434849326432682
APTOS,093cf723fede.png,srcnn,37.78154858072589,0.8912603203430777
